"year","seq","dis_group","dis_subgroup","dis_type","dis_subtype","dis_subsubtype","event_name","country_name","iso","region","continent","location","origin","associated_dis","associated_dis2","aid_contribution  ('000 US$)","dis_mag_value","dis_mag_scale","latitude","longitude","local_time","river_basin","start_year","start_month","start_day","end_year","end_month","end_day","no_killed","no_injured","no_affected","no_homeless","total_affected","total_dam","reconstr_dam","insur_dam"
1995,55,"Natural","Geophysical","Earthquake (seismic activity)","Earthquake (ground shaking)","--",,"Philippines","PHL","South-Eastern Asia","Asia","near Dolores (Samar Isl.)",,,,,"7.3","Richter","12.01N","125.6E",8:00,,1995,4,21,1995,4,21,0,0,0,0,0,0,0,0
1995,161,"Natural","Hydrological","Flood","--","--",,"Philippines","PHL","South-Eastern Asia","Asia","Pampanga Province",,,,,,"km²",,,,,1995,7,29,1995,7,29,0,0,25000,0,25000,0,0,0
1995,163,"Natural","Biological","Insect infestation","--","--",,"Philippines","PHL","South-Eastern Asia","Asia","Floridablanca Pampanga",,,,,,"km²",,,,,1995,7,,1995,7,,0,0,200,0,200,0,0,0
1995,187,"Natural","Meteorological","Storm","Tropical cyclone","--","Kent (Gening)","Philippines","PHL","South-Eastern Asia","Asia","Regions I, II, III, IV, V, Metro Manilla",,,,,157,"kph",,,,,1995,8,28,1995,8,28,6,0,195886,0,195886,0,0,0
1995,199,"Natural","Meteorological","Storm","--","--","Nina (Helming)","Philippines","PHL","South-Eastern Asia","Asia","Pampanga, Sultan Kudarat provinces",,"Landslide / Mudslide","Flood",,,"kph",,,,,1995,9,4,1995,9,4,20,0,19655,0,19655,394,0,0
1995,209,"Natural","Hydrological","Flood","Flash flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","South Cotabato, Sultan Kudarat (Mindanao)","Heavy rains","Landslide / Mudslide",,289,10940,"kmÂ²",,,,"Kabulnuan, Alah",1995,9,4,1995,9,15,416,7,24478,0,24485,700300,0,0
1995,247,"Natural","Meteorological","Storm","Tropical cyclone","--","Sybil (Mameng)","Philippines","PHL","South-Eastern Asia","Asia","Pampanga, Pangasinan, Bulacan, Laguna, Marinduque, Quezon, Barangas, Cavite, Albay, Antique, Cebu, Leyte, Siquijor, Bukidnon provinces and National Capital region",,"Flood","Landslide / Mudslide",51,120,"kph",,,,,1995,10,9,1995,10,26,184,14,758423,106000,864437,38100,0,0
1995,271,"Natural","Meteorological","Storm","Tropical cyclone","--","Angela (Rosing)","Philippines","PHL","South-Eastern Asia","Asia","Luzon, Visayas, Calauag",,,,3720,250,"kph",,,,,1995,11,3,1995,11,3,882,2369,1597219,0,1599588,244000,0,0
1995,272,"Natural","Meteorological","Storm","Tropical cyclone","--","Zack (Pepang)","Philippines","PHL","South-Eastern Asia","Asia","Leyte, Samar, Central Visayas, Panays Islands, Palawan",,"Flood",,,135,"kph",,,,,1995,10,28,1995,11,1,146,55,347998,0,348053,30000,0,0
1995,282,"Natural","Hydrological","Flood","--","--",,"Philippines","PHL","South-Eastern Asia","Asia","Negros Occidental",,,,,,"km²",,,,,1995,11,28,1995,11,28,18,0,0,10000,10000,0,0,0
1995,290,"Natural","Hydrological","Flood","--","--",,"Philippines","PHL","South-Eastern Asia","Asia","Albay, Catanduanes, Sorsogon",,,,,,"km²",,,,,1995,12,11,1995,12,11,17,0,17500,0,17500,142,0,0
1995,291,"Natural","Hydrological","Flood","--","--",,"Philippines","PHL","South-Eastern Asia","Asia","Davao City",,,,,,"km²",,,,,1995,12,10,1995,12,10,12,0,4500,0,4500,0,0,0
1995,304,"Natural","Hydrological","Flood","General flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Cagayan, Isabela, Quirino, Nueva Viscaya, Aurora provinces",,,,,,"km²",,,,,1995,12,22,1995,12,22,13,0,47700,0,47700,500,0,0
1995,306,"Natural","Meteorological","Storm","--","--","Dan (Trining)","Philippines","PHL","South-Eastern Asia","Asia","Agusan, Surigao, Leyte, Samar",,,,,140,"kph",,,,,1995,12,25,1995,12,25,11,2,229191,0,229193,0,0,0
1995,472,"Natural","Geophysical","Volcano","Volcanic eruption","--","Mt Pinatubo","Philippines","PHL","South-Eastern Asia","Asia",,,,,,,,,,,,1995,7,29,1995,7,30,0,0,0,2500,2500,0,0,0
1995,486,"Natural","Meteorological","Storm","Tropical cyclone","--","Karing","Philippines","PHL","South-Eastern Asia","Asia","Pampanga, Zambales, Tarlac (Luzon province)",,"Flood",,,,"Kph",,,,,1995,7,29,1995,7,31,0,0,20000,0,20000,5000,0,0
1996,108,"Natural","Meteorological","Storm","Tropical cyclone","--","Gloria","Philippines","PHL","South-Eastern Asia","Asia","Quzeon, Aurora, Quirino, Nueva Vizcaya, Isabela, Cagayan, Batanes, La Union, Ilocos Norte, Ilocos Sur (Luzon Isl.)",,,,,140,"kph",,,,,1996,7,15,1996,7,15,26,13,36815,0,36828,38000,0,0
1996,123,"Natural","Biological","Epidemic","Viral Infectious Diseases","--","Dengue/dengue haemorrhagic fever","Philippines","PHL","South-Eastern Asia","Asia",,,,,,,,,,,,1996,1,"--",1996,7,14,26,0,1459,0,1459,0,0,0
1996,129,"Natural","Biological","Epidemic","Bacterial Infectious Diseases","--","Cholera","Philippines","PHL","South-Eastern Asia","Asia","Baganga, Davao Oriental Province",,,,,,"vaccinated",,,,,1996,5,15,1996,5,30,4,0,214,0,214,0,0,0
1996,157,"Natural","Hydrological","Flood","--","--",,"Philippines","PHL","South-Eastern Asia","Asia","Davao Del Norte",,,,,,"km²",,,,,1996,6,30,1996,6,30,0,0,0,96000,96000,0,0,0
1996,204,"Natural","Hydrological","Mass movement wet","Landslide","--",,"Philippines","PHL","South-Eastern Asia","Asia","South",,,,,,,,,,,1996,9,17,1996,9,17,12,0,0,0,0,0,0,0
1996,257,"Natural","Meteorological","Storm","--","--","Ernie","Philippines","PHL","South-Eastern Asia","Asia","Cebu, Bocolod",,,,,101,"kph",,,,,1996,11,6,1996,11,6,12,0,800,0,800,4150,0,0
1996,372,"Natural","Hydrological","Mass movement wet","Landslide","--",,"Philippines","PHL","South-Eastern Asia","Asia","Catanduanes (Mindanao)",,,,,,,,,,,1996,11,28,1996,11,28,33,8,0,0,8,0,0,0
1997,180,"Natural","Meteorological","Storm","Tropical cyclone","--","Winnie","Philippines","PHL","South-Eastern Asia","Asia","All country",,,,,180,"kph",,,,,1997,8,18,1997,8,19,18,5,53654,0,53659,5000,0,0
1997,203,"Natural","Meteorological","Storm","Tropical cyclone","--","Bining","Philippines","PHL","South-Eastern Asia","Asia","Manilla, Luzon",,"Flood","Landslide / Mudslide",,,"kph",,,,,1997,5,24,1997,5,26,30,0,309111,0,309111,2500,0,0
1997,252,"Natural","Meteorological","Storm","Tropical cyclone","--","Ivan","Philippines","PHL","South-Eastern Asia","Asia","Cagayan Prov.",,,,,120,"kph",,,,,1997,10,20,1997,10,20,1,0,4000,0,4000,0,0,0
1997,567,"Natural","Hydrological","Flood","General flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Surigao del Sur, Surigao del NOrte, Agusan del Sur (Mindanao province)","Heavy rain",,,,18320,"Km2",,,,"Agusan, Tago",1997,3,9,1997,3,13,18,0,105000,0,105000,76,0,0
1998,88,"Natural","Climatological","Wildfire","Forest fire","--",,"Philippines","PHL","South-Eastern Asia","Asia","Quezeon & Rizal",,,,,200,"km²",,,,,1998,4,2,1998,4,2,2,0,300,0,300,0,0,0
1998,271,"Natural","Biological","Epidemic","Viral Infectious Diseases","--","Dengue fever","Philippines","PHL","South-Eastern Asia","Asia","N.A. on the source",,,,,,"vaccinated",,,,,1998,9,3,1998,9,3,202,0,11000,0,11000,0,0,0
1998,296,"Natural","Meteorological","Storm","Tropical cyclone","--","Vicky and Todd (Emang and Gading)","Philippines","PHL","South-Eastern Asia","Asia","North and Central Luzon Isl., cordillera Autonomous Region, central Visayas Isl., National Capital Region",,,,,108,"kph",,,,,1998,9,18,1998,9,18,118,22,1749414,0,1749436,87038,0,0
1998,309,"Natural","Meteorological","Storm","Tropical cyclone","--","Zeb (Iliang)","Philippines","PHL","South-Eastern Asia","Asia","Town Of Tabuk  Level 2 = Kalinga-Apayao (from GENAME)",,,,,280,"kph",,,,,1998,10,13,1998,10,18,75,63,1344556,0,1344619,50000,0,0
1998,314,"Natural","Meteorological","Storm","Tropical cyclone","--","Babs (Loleng)","Philippines","PHL","South-Eastern Asia","Asia","Albay ",,,,,235,"kph",,,,,1998,10,21,1998,10,21,332,751,3901673,0,3902424,71000,0,0
1998,404,"Natural","Meteorological","Storm","Tropical cyclone","--","Faith (Norming)","Philippines","PHL","South-Eastern Asia","Asia","E  and W Samar, Cagayan, Pampanga, Bulacan, Isabela, Quenzon, W Mindoro, Palawan, Masbate, Albay, Sorsogon, Catanduanes, Aklan, Capiz, Antique, Iloilo, Leyte",,,,270,150,"kph",,,,,1998,12,11,1998,12,11,69,30,326490,0,326520,27399,0,0
1998,9109,"Natural","Climatological","Drought","Drought","--",,"Philippines","PHL","South-Eastern Asia","Asia","All country","El Nino",,,,,"kmÂ²",,,,,1998,4,,1998,"--",,8,0,2600000,0,2600000,0,0,0
1999,53,"Natural","Hydrological","Flood","Flash flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Iligan city, towns of Kauswagan, Linamon and Bacolod (Lanao del Norte Province, Mindanao islands)",,,,185,58,"kmÂ²",,,,"Kauswagon River, Larapan river",1999,2,20,1999,2,22,34,79,2609,1015,3703,6000,0,0
1999,83,"Natural","Hydrological","Flood","--","--",,"Philippines","PHL","South-Eastern Asia","Asia","Gingoog",,,,,,"km²",,,,,1999,3,2,1999,3,2,0,0,1300,0,1300,0,0,0
1999,127,"Natural","Hydrological","Mass movement wet","Landslide","--",,"Philippines","PHL","South-Eastern Asia","Asia","South of Philippines",,,,,,,,,,,1999,4,,1999,4,,19,0,0,0,0,0,0,0
1999,172,"Natural","Hydrological","Mass movement wet","Landslide","--",,"Philippines","PHL","South-Eastern Asia","Asia","Compostela Valley (Mindanao Isl.)",,,,,,,,,,,1999,5,10,1999,5,10,10,10,0,35,45,0,0,0
1999,253,"Natural","Hydrological","Flood","Flash flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Rizal, Pangasinan, Pampanga and Bulacan Provinces","Brief torrential rain",,,,,"kmÂ²",,,,"Pampanga",1999,7,30,1999,8,8,130,32,2096341,3390,2099763,18000,0,0
1999,312,"Natural","Hydrological","Mass movement wet","Landslide","--",,"Philippines","PHL","South-Eastern Asia","Asia","Nord du pays",,,,,,,,,,,1999,9,13,1999,9,13,13,0,0,0,0,0,0,0
1999,390,"Natural","Meteorological","Storm","Tropical cyclone","--","Dan (Pepang)","Philippines","PHL","South-Eastern Asia","Asia","Provinces Of Cagayan, Ilocos, Sur, Pangasinan, La Union",,,,,,"kph",,,,,1999,10,5,1999,10,5,7,22,37200,4711,41933,1800,0,0
1999,503,"Natural","Biological","Epidemic","Viral Infectious Diseases","--","Dengue fever","Philippines","PHL","South-Eastern Asia","Asia","Pangasinan Province",,,,,,"vaccinated",,,,,1999,9,,1999,9,,10,0,402,0,402,0,0,0
1999,608,"Natural","Hydrological","Flood","Flash flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Surigao del Sur Province",,,,,,"km²",,,,,1999,3,,1999,3,,0,0,0,250,250,0,0,0
1999,644,"Natural","Geophysical","Earthquake (seismic activity)","Earthquake (ground shaking)","--",,"Philippines","PHL","South-Eastern Asia","Asia","Luzon (Manila Region)",,,,,"6.8","Richter","15.8N","119.8E",2:03,,1999,12,12,1999,12,12,6,40,150,0,190,1794,0,0
1999,723,"Natural","Meteorological","Storm","--","--","Etang","Philippines","PHL","South-Eastern Asia","Asia","Regions II - Batanes",,,,,,,,,,,1999,6,1,1999,6,6,0,0,1601,0,1601,0,0,0
1999,724,"Natural","Meteorological","Storm","--","--","Gening","Philippines","PHL","South-Eastern Asia","Asia","Region III - Zambales",,,,,,,,,,,1999,6,4,1999,6,6,0,0,755,380,1135,2210,0,0
1999,725,"Natural","Meteorological","Storm","--","--","Ising (Olga)","Philippines","PHL","South-Eastern Asia","Asia","Region III",,,,,,,,,,,1999,7,28,1999,8,1,47,2,1245917,0,1245919,33795,0,0
1999,726,"Natural","Meteorological","Storm","--","--","Luding","Philippines","PHL","South-Eastern Asia","Asia","Regions I, II, III and CAR",,,,,,,,,,,1999,8,18,1999,8,21,11,23,35222,0,35245,4007,0,0
1999,727,"Natural","Meteorological","Storm","--","--","Neneng","Philippines","PHL","South-Eastern Asia","Asia","Region III",,,,,,,,,,,1999,9,10,1999,9,15,1,2,1505,0,1507,0,0,0
1999,728,"Natural","Meteorological","Storm","--","--","Reming","Philippines","PHL","South-Eastern Asia","Asia","Regions V, VIII",,,,,,,,,,,1999,10,15,1999,10,18,1,0,5791,0,5791,0,0,0
1999,729,"Natural","Meteorological","Storm","--","--","Sendang","Philippines","PHL","South-Eastern Asia","Asia","Regions V, VI, VII",,,,,,,,,,,1999,11,7,1999,11,9,33,7,54152,0,54159,14675,0,0
1999,732,"Natural","Hydrological","Mass movement wet","Landslide","--",,"Philippines","PHL","South-Eastern Asia","Asia","Manilla",,,,,,,,,,,1999,8,4,1999,8,4,58,0,0,0,0,0,0,0
2000,38,"Natural","Hydrological","Flood","Flash flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Agusan del Sur, Agusan del Norte, Surigao del Sur, Davao Oriental, Davao del Norte, Compostela Valley (Mindano Isl.)","Brief torrential rain","Landslide / Mudslide",,,16700,"kmÂ²",,,,,2000,1,28,2000,2,1,50,0,153885,0,153885,4080,0,0
2000,66,"Natural","Hydrological","Flood","Storm surge/coastal flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Matata, Sapa-Sapa, Simunol",,,,,3,"height (m)",,,,,2000,1,22,2000,1,22,0,0,0,5250,5250,0,0,0
2000,89,"Natural","Geophysical","Volcano","Volcanic eruption","--","Mount Mayon","Philippines","PHL","South-Eastern Asia","Asia","Albay (Legazpi Province)",,,,647,,,"13.3 N","123.7 E",,,2000,2,24,2000,3,9,0,0,68426,0,68426,2214,0,0
2000,257,"Natural","Meteorological","Storm","Tropical cyclone","--","Biring","Philippines","PHL","South-Eastern Asia","Asia","Metro Manila, Central Luzon",,"Flood",,,,"kph",,,,,2000,5,18,2000,5,18,12,4,235885,0,235889,1201,0,0
2000,396,"Natural","Meteorological","Storm","Tropical cyclone","--","Kirogi","Philippines","PHL","South-Eastern Asia","Asia","Manilla",,,,,185,"kph",,,,,2000,7,5,2000,7,5,11,0,0,120000,120000,7500,0,0
2000,397,"Natural","Meteorological","Storm","Tropical cyclone","--","Kai-Tak (Edeng)","Philippines","PHL","South-Eastern Asia","Asia","La Union, Pangasinan, Ilocos Norte, Ilocos Sur, Baguio City (Reg. I), Bataan, Bulacan, Pampanga, Olongapo City, Tarlac, Zambales (Reg. III), Mindoro Oriental (Reg. IV), Caloocan, Manioma, Quezon cities, Rizal (NCR), Cavite (Reg. IV), Iloilo, Negros Occidental (Reg.VI)",,,,29,200,"kph",,,,,2000,7,7,2000,7,7,75,11,1483310,0,1483321,25763,0,0
2000,414,"Natural","Hydrological","Mass movement wet","Subsidence","Sudden subsidence","Garbage","Philippines","PHL","South-Eastern Asia","Asia","Manilla","Rain triggered by Typhoon Kai-Tak",,,,,,,,,,2000,7,10,2000,7,10,287,38,2800,0,2838,0,0,0
2000,597,"Natural","Hydrological","Flood","Storm surge/coastal flood","--","Maring","Philippines","PHL","South-Eastern Asia","Asia","Caloocan, Quezon, Malabon districts (Manila, Luzon)",,"Flood",,,,"kph",,,,,2000,9,4,2000,9,5,5,0,6508,0,6508,0,0,0
2000,706,"Natural","Meteorological","Storm","Tropical cyclone","--","Xangsane (Reming)","Philippines","PHL","South-Eastern Asia","Asia","Cavite, Sorsogon, Catanduanes, Samar, Albay, Manilla (Southern Luzon)",,,,,140,"Kph",,,,,2000,10,28,2000,10,31,154,314,2435942,0,2436256,17000,0,1500
2000,715,"Natural","Meteorological","Storm","Tropical cyclone","--","Bebinca (Seniang)","Philippines","PHL","South-Eastern Asia","Asia","Rizal, Laguna, Cagayan, Nueva Vizcaya provinces, Manilal area (Luzon Isl)",,,,,120,"kph",,,,,2000,11,3,2000,11,5,94,0,1747872,0,1747872,31000,0,0
2000,763,"Natural","Geophysical","Mass movement dry","Landslide","--",,"Philippines","PHL","South-Eastern Asia","Asia","Cabugao-Apayao (Kaling-Apayao province)",,,,,,,,,,,2000,11,8,2000,11,8,11,0,0,0,0,0,0,0
2000,783,"Natural","Biological","Epidemic","--","--","Acute diarrhoeal syndrome","Philippines","PHL","South-Eastern Asia","Asia","Zamboanga",,,,,,"vaccinated",,,,,2000,11,18,2000,11,18,1,0,664,0,664,0,0,0
2000,788,"Natural","Meteorological","Storm","Tropical cyclone","--","Rumbia (Toyang)","Philippines","PHL","South-Eastern Asia","Asia","Mindanao Isl. and Central Philippines",,,,,135,"kph",,,,,2000,11,30,2000,12,3,48,26,164067,0,164093,1000,0,0
2001,54,"Natural","Meteorological","Storm","Tropical cyclone","--","Auring","Philippines","PHL","South-Eastern Asia","Asia","Leyte Isl., Visayas, Mindanao",,,,,45,"kph",,,,,2001,2,17,2001,2,17,55,84,0,100000,100084,6000,0,0
2001,59,"Natural","Hydrological","Flood","General flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Silay city and surrounding (Negros Island and Province)","Heavy rain",,,,845,"kmÂ²",,,,"Balugo River and tributaries",2001,1,15,2001,1,15,2,0,12000,0,12000,0,0,0
2001,297,"Natural","Geophysical","Volcano","Volcanic eruption","--","Mt. Mayon","Philippines","PHL","South-Eastern Asia","Asia","Luzon Isl.",,,,247,,,,,14:44,,2001,5,24,2001,5,24,0,0,25576,0,25576,792,0,0
2001,319,"Natural","Meteorological","Storm","Tropical cyclone","--","Utor (Feria)","Philippines","PHL","South-Eastern Asia","Asia","Regions I, II, III, IV, VIII, Cordillera Autonomous Region (CAR), National Capital Region",,,,,140,"kph",,,,,2001,7,,2001,7,,232,241,1902413,0,1902654,68565,0,0
2001,445,"Natural","Hydrological","Flood","Flash flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Zamboanga del Sur, Maguindanao, Sultan Kudarat, North Cotabato, Misamis Occidental, Zamboanga del Norte, Zamboanga Sibugay provinces (Mindanao Isl).","Brief torrential rain",,,,31880,"kmÂ²",,,,,2001,8,12,2001,8,14,37,0,79000,0,79000,8000,0,0
2001,461,"Natural","Geophysical","Volcano","Volcanic eruption","--","Mt Mayon","Philippines","PHL","South-Eastern Asia","Asia","Legaspi",,,,,,,,,,,2001,7,25,2001,7,25,0,0,57645,0,57645,1788,0,0
2001,596,"Natural","Hydrological","Flood","Flash flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Zamboanga (Mindanao Isl.)","Brief torrential rain",,,,190,"kmÂ²",,,,,2001,10,10,2001,10,10,4,0,300,0,300,0,0,0
2001,614,"Natural","Meteorological","Storm","Tropical cyclone","--","Lingling (Nanang)","Philippines","PHL","South-Eastern Asia","Asia","Camiguin Isl., Cagayan de Oro (Mindanao Isl.)",,"Flood","Landslide / Mudslide",434,215,"kph",,,,,2001,11,8,2001,11,8,290,147,1060000,0,1060147,22700,0,0
2001,758,"Natural","Meteorological","Storm","Tropical cyclone","--","Kajiki (Quedan)","Philippines","PHL","South-Eastern Asia","Asia","Cebu, Leyte Isl.",,"Flood","Landslide / Mudslide",,,"kph",,,,,2001,12,5,2001,12,7,6,8,54832,0,54840,96,0,0
2001,792,"Natural","Meteorological","Storm","--","--","TD Jolina","Philippines","PHL","South-Eastern Asia","Asia","Region III",,,,,,,,,,,2001,8,17,2001,8,19,0,0,295355,0,295355,293,0,0
2001,793,"Natural","Meteorological","Storm","--","--","TS Labuyo ( Lekima)","Philippines","PHL","South-Eastern Asia","Asia","Regions I, II and CAR",,,,,,,,,,,2001,9,22,2001,9,27,4,0,37357,0,37357,1407,0,0
2002,5,"Natural","Hydrological","Flood","General flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Davao del Sur, Surigao del Sur, Agusan del Sur, Davao del Norte, Davao Oriental, Compostella Valley ((Mindanao Isl.)","Heavy rain","Landslide / Mudslide",,,13420,"km²",,,,,2002,1,4,2002,1,7,11,8,95000,0,95008,392,0,0
2002,129,"Natural","Geophysical","Earthquake (seismic activity)","Earthquake (ground shaking)","--",,"Philippines","PHL","South-Eastern Asia","Asia","General Santo city   Kiamba (Saranggani province, Mindanao Isl.)",,"Tidal Wave / Tsunami",,,"7.5","Richter","6.171 N","124.284 E",5:16,,2002,3,6,2002,3,6,15,100,73351,0,73451,1714,0,0
2002,176,"Natural","Hydrological","Flood","General flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Surigao del Norte, Surigao del Sur","Heavy rain",,,,5280,"kmÂ²",,,,,2002,3,21,2002,3,26,35,0,50000,0,50000,1450,0,0
2002,408,"Natural","Meteorological","Storm","Tropical cyclone","--","Chata\'an","Philippines","PHL","South-Eastern Asia","Asia","Manilla",,,,,170,"kph",,,,,2002,7,7,2002,7,9,33,41,700000,0,700041,1000,0,0
2002,423,"Natural","Meteorological","Storm","Tropical cyclone","--","Halong (Anday)","Philippines","PHL","South-Eastern Asia","Asia",,,,,,160,"kph",,,,,2002,7,13,2002,7,13,62,0,11000,0,11000,5664,0,0
2002,499,"Natural","Hydrological","Flood","Storm surge/coastal flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Negros Occidental (Negros Isl.), Manila and Rizal Province (Luzon Island)","Tropical cyclone",,,,11680,"kmÂ²",,,,,2002,8,13,2002,8,17,26,59,3500,0,3559,0,0,0
2002,528,"Natural","Meteorological","Storm","Tropical cyclone","--","Rammasun (Florita)","Philippines","PHL","South-Eastern Asia","Asia","Manilla (Luzon Isl.)",,,,,,"kph",,,,,2002,6,28,2002,7,3,7,0,0,3000,3000,0,0,0
2002,532,"Natural","Hydrological","Flood","Storm surge/coastal flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Manila area (Bulacan, Laguna, Pampanga, Pangasinan provinces, Luzon), Maguindanao Province (Mindanao), Negros Island, Visayas.","Tropical cyclone",,,,12840,"kmÂ²",,,,,2002,7,20,2002,7,28,18,0,7000,0,7000,0,0,0
2002,858,"Natural","Biological","Epidemic","Viral Infectious Diseases","--","Acute respiratory syndrome (SARS)","Philippines","PHL","South-Eastern Asia","Asia",,,,,,,,,,,,2003,2,25,2003,5,5,2,0,12,0,12,0,0,0
2002,875,"Natural","Meteorological","Storm","--","--","TD Caloy","Philippines","PHL","South-Eastern Asia","Asia","Regions VI, VII, VIII and CARGA",,,,,,,,,,,2002,3,20,2002,3,20,42,2,54629,0,54631,3292,0,0
2002,877,"Natural","Meteorological","Storm","--","--","TD Juan","Philippines","PHL","South-Eastern Asia","Asia","Regions IV, VI",,,,,,,,,,,2002,7,15,2002,7,23,14,2,19048,0,19050,238,0,0
2002,878,"Natural","Meteorological","Storm","--","--","TD Milenyo","Philippines","PHL","South-Eastern Asia","Asia","REgions III, IV, V, VI, VII, VIII, X, CARAGA",,,,,,,,,,,2002,8,11,2002,8,14,57,21,194451,0,194472,3340,0,0
2002,9164,"Natural","Climatological","Drought","Drought","--",,"Philippines","PHL","South-Eastern Asia","Asia","Pangasinan, La Union, Ilocos Norte, Ilocos Sur",,,,,178,"kmÂ²",,,,,2002,3,,2002,3,,0,0,0,0,0,453,0,0
2003,258,"Natural","Meteorological","Storm","Tropical cyclone","--","Linfa (Chedeng)","Philippines","PHL","South-Eastern Asia","Asia","Pangasinan, La Union, Ilocos Norte, Ilocos Sur, Zambales, Battan, Cavite, Batangas, Rizal, Romblon, Occ. Mindoro, Iloilo, Bulacan Benguet provinces, Valenzuela city (Luzon Isl).  ",,"Landslide / Mudslide","Flood",,,"Kph",,,,,2003,5,26,2003,5,30,51,16,11345,2548,13909,4000,0,0
2003,289,"Natural","Hydrological","Flood","Flash flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Cebu","Torrential rains","Landslide / Mudslide",,,,"km²",,,,,2003,5,16,2003,5,16,0,0,3500,0,3500,0,0,0
2003,290,"Natural","Meteorological","Storm","Tropical cyclone","--","Soudelor (Egay)","Philippines","PHL","South-Eastern Asia","Asia","Sorsogon, Albay, Catanduanes, Camarines Sur (Leyte), Barangay Aslum, Naval, Biliran city (Catbalogan Biliran Island)",,"Landslide / Mudslide","Flood",,140,"Kph",,,,,2003,6,15,2003,6,18,13,3,46472,80655,127130,2455,0,0
2003,346,"Natural","Meteorological","Storm","Tropical cyclone","--","Imbudo","Philippines","PHL","South-Eastern Asia","Asia","Maguindanao provinces (Autonomous Region of Muslim Mindanao), North Cobato, Sultan Kudarat (Region XII), Isabela (Region II), Ilocos Norte (Region I), Romblon (Region IV)",,"Flood",,,200,"Kph",,,,,2003,7,19,2003,7,23,21,0,14280,0,14280,26468,0,0
2003,610,"Natural","Hydrological","Mass movement wet","Landslide","--",,"Philippines","PHL","South-Eastern Asia","Asia","Liloan, San Francisco, Maasin, Punta, San Ricardo (Leyte province), Surigao, Mindana, Caraga, Misamis Oriental, Compostela Valley, Agusan del Sur, Agusan del Norte, Surigao del Sur, Surigao de Norte, South Cotabato, Bohol provinces","Heavy rains, deforestation","Flood",,423,,,,,,"Agusan",2003,12,19,2004,1,7,255,54,217934,0,217988,7000,0,0
2003,822,"Natural","Meteorological","Storm","Tropical cyclone","--","Gilas (Koni)","Philippines","PHL","South-Eastern Asia","Asia","Regions IV , VIII",,,,,,,,,,,2003,7,15,2003,7,19,8,1,116601,0,116602,1499,0,0
2003,823,"Natural","Meteorological","Storm","Tropical cyclone","--","Ineng","Philippines","PHL","South-Eastern Asia","Asia","Regions V, VIII, X",,,,,,,,,,,2003,7,30,2003,7,31,0,0,3748,0,3748,146,0,0
2003,824,"Natural","Meteorological","Storm","Tropical cyclone","--","Kabayan","Philippines","PHL","South-Eastern Asia","Asia","Region III",,,,,,,,,,,2003,8,4,2003,8,5,0,0,155147,0,155147,661,0,0
2003,825,"Natural","Meteorological","Storm","--","--","Nina (Krovanh)","Philippines","PHL","South-Eastern Asia","Asia","Region I",,,,,,,,,,,2003,8,20,2003,8,24,1,0,1156,0,1156,73,0,0
2003,826,"Natural","Meteorological","Storm","--","--","Onyok (Dujuan)","Philippines","PHL","South-Eastern Asia","Asia","Regions III and NCR",,,,,,,,,,,2003,8,30,2003,9,2,1,1,34288,0,34289,0,0,0
2004,28,"Natural","Hydrological","Flood","General flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","La Union","Monsoon",,,,,"--",,,,,2004,1,23,2004,1,23,27,0,194,0,194,0,0,0
2004,87,"Natural","Hydrological","Flood","General flood","--",,"Philippines","PHL","South-Eastern Asia","Asia","Mindanao Isl.","Continuous rain from tropical depression Ambo","Landslide / Mudslide",,,20370,"km²",,,,"Agusan",2004,2,11,2004,2,26,7,0,20000,0,20000,0,0,0
2004,218,"Natural","Meteorological","Storm","Tropical cyclone","--","Nida (Dindo/04W)","Philippines","PHL","South-Eastern Asia","Asia","Bicol region",,"Winds and Rains","Landslide / Mudslide",,260,"Kph",,,,,2004,5,13,2004,5,19,31,14,0,700,714,1000,0,0
2004,267,"Natural","Meteorological","Storm","Local storm","Tornado",,"Philippines","PHL","South-Eastern Asia","Asia","Leyte Isl.",,,,,,,,,,,2004,6,10,2004,6,10,7,4,0,4500,4504,0,0,0
2004,309,"Natural","Meteorological","Storm","Tropical cyclone","--","Mindulle (Igme/10W)","Philippines","PHL","South-Eastern Asia","Asia","Cagayan, Laoag, La Union (North of Luzon Isl.), Mindanao Isl.",,"Flood",,,230,"Kph",,,,,2004,6,25,2004,7,2,28,12,385000,0,385012,19667,0,0
